Institution,City,State,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"California Lutheran University","Thousand Oaks",California,34.212798,-118.882175,1,place,,,"Thousand Oaks, CA 91360",,,,,"Thousand Oaks",CA,"Ventura County",91360,US,"TIGER/Line® from the US Census Bureau",,
"California State University-Bakersfield",Bakersfield,California,35.384337,-119.020562,1,place,,,"Bakersfield, CA 93301",,,,,Bakersfield,CA,"Kern County",93301,US,"TIGER/Line® from the US Census Bureau",,
"California State University-Stanislaus",Turlock,California,37.474396,-120.875918,1,place,,,"Turlock, CA 95380",,,,,Turlock,CA,"Stanislaus County",95380,US,"TIGER/Line® from the US Census Bureau",,
"California State University-San Bernardino","San Bernardino",California,34.104794,-117.29215,1,place,,,"San Bernardino, CA 92401",,,,,"San Bernardino",CA,"San Bernardino County",92401,US,"TIGER/Line® from the US Census Bureau",,
"California State Polytechnic University-Pomona",Pomona,California,34.042286,-117.756106,1,place,,,"Pomona, CA 91766",,,,,Pomona,CA,"Los Angeles County",91766,US,"TIGER/Line® from the US Census Bureau",,
"California State University-Dominguez Hills",Carson,California,33.813317,-118.261154,1,place,,,"Carson, CA 90745",,,,,Carson,CA,"Los Angeles County",90745,US,"TIGER/Line® from the US Census Bureau",,
"California State University-Fresno",Fresno,California,36.8411,-119.801015,1,place,,,"Fresno, CA 93650",,,,,Fresno,CA,"Fresno County",93650,US,"TIGER/Line® from the US Census Bureau",,
"California State University-Long Beach","Long Beach",California,33.756024,-118.201101,1,place,,,"Long Beach, CA 90802",,,,,"Long Beach",CA,"Los Angeles County",90802,US,"TIGER/Line® from the US Census Bureau",,
"California State University-Los Angeles","Los Angeles",California,33.973951,-118.248405,1,place,,,"Los Angeles, CA 90001",,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® from the US Census Bureau",,
"California State University-Sacramento",Sacramento,California,38.377411,-121.444429,1,place,,,"Sacramento, CA 94240",,,,,Sacramento,CA,"Sacramento County",94240,US,"TIGER/Line® from the US Census Bureau",,
"University of California-Irvine",Irvine,California,33.757245,-117.750414,1,place,,,"Irvine, CA 92602",,,,,Irvine,CA,"Orange County",92602,US,"TIGER/Line® from the US Census Bureau",,
"California State University Maritime Academy",Vallejo,California,38.18735,-122.224074,1,place,,,"Vallejo, CA 94589",,,,,Vallejo,CA,"Napa County",94589,US,"TIGER/Line® from the US Census Bureau",,
"Casa Loma College-Los Angeles","Sherman Oaks",California,34.147149,-118.463365,1,place,,,"Sherman Oaks, CA 91403",,,,,"Sherman Oaks",CA,"Los Angeles County",91403,US,"TIGER/Line® from the US Census Bureau",,
"Design Institute of San Diego","San Diego",California,32.724103,-117.170912,1,place,,,"San Diego, CA 92101",,,,,"San Diego",CA,"San Diego County",92101,US,"TIGER/Line® from the US Census Bureau",,
"Hartnell College",Salinas,California,36.64152,-121.622188,1,place,,,"Salinas, CA 93901",,,,,Salinas,CA,"Monterey County",93901,US,"TIGER/Line® from the US Census Bureau",,
"California State Polytechnic University-Humboldt",Arcata,California,40.881383,-123.984232,1,place,,,"Arcata, CA 95518",,,,,Arcata,CA,"Humboldt County",95518,US,"TIGER/Line® from the US Census Bureau",,
"Imperial Valley College",Imperial,California,32.84755,-115.56944,1,place,,,"Imperial, CA 92251",,,,,Imperial,CA,"Imperial County",92251,US,"TIGER/Line® from the US Census Bureau",,
"University of La Verne","La Verne",California,34.10084,-117.76784,1,place,,,"La Verne, CA 91750",,,,,"La Verne",CA,"Los Angeles County",91750,US,"TIGER/Line® from the US Census Bureau",,
"Menlo College",Atherton,California,37.450627,-122.199439,1,place,,,"Atherton, CA 94027",,,,,Atherton,CA,"San Mateo County",94027,US,"TIGER/Line® from the US Census Bureau",,
"Mount Saint Mary's University","Los Angeles",California,33.973951,-118.248405,1,place,,,"Los Angeles, CA 90001",,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® from the US Census Bureau",,
"National University","San Diego",California,32.724103,-117.170912,1,place,,,"San Diego, CA 92101",,,,,"San Diego",CA,"San Diego County",92101,US,"TIGER/Line® from the US Census Bureau",,
"Newschool of Architecture and Design","San Diego",California,32.724103,-117.170912,1,place,,,"San Diego, CA 92101",,,,,"San Diego",CA,"San Diego County",92101,US,"TIGER/Line® from the US Census Bureau",,
"Otis College of Art and Design","Los Angeles",California,33.973951,-118.248405,1,place,,,"Los Angeles, CA 90001",,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® from the US Census Bureau",,
"Pacific Union College",Angwin,California,38.57145,-122.450215,1,place,,,"Angwin, CA 94508",,,,,Angwin,CA,"Napa County",94508,US,"TIGER/Line® from the US Census Bureau",,
"University of the Pacific",Stockton,California,37.672196,-121.298794,1,place,,,"Stockton, CA 95201",,,,,Stockton,CA,"San Joaquin County",95201,US,"TIGER/Line® from the US Census Bureau",,
"University of Redlands",Redlands,California,34.011935,-117.159696,1,place,,,"Redlands, CA 92373",,,,,Redlands,CA,"San Bernardino County",92373,US,"TIGER/Line® from the US Census Bureau",,
"San Diego State University","San Diego",California,32.724103,-117.170912,1,place,,,"San Diego, CA 92101",,,,,"San Diego",CA,"San Diego County",92101,US,"TIGER/Line® from the US Census Bureau",,
"University of San Francisco","San Francisco",California,37.776646,-122.417481,1,place,,,"San Francisco, CA 94101",,,,,"San Francisco",CA,"San Francisco County",94101,US,"TIGER/Line® from the US Census Bureau",,
"San Joaquin Valley College-Bakersfield",Bakersfield,California,35.384337,-119.020562,1,place,,,"Bakersfield, CA 93301",,,,,Bakersfield,CA,"Kern County",93301,US,"TIGER/Line® from the US Census Bureau",,
"Concorde Career College-San Bernardino","San Bernardino",California,34.104794,-117.29215,1,place,,,"San Bernardino, CA 92401",,,,,"San Bernardino",CA,"San Bernardino County",92401,US,"TIGER/Line® from the US Census Bureau",,
"Concorde Career College-North Hollywood","North Hollywood",California,34.1692,-118.372498,1,place,,,"North Hollywood, CA 91601",,,,,"North Hollywood",CA,"Los Angeles County",91601,US,"TIGER/Line® from the US Census Bureau",,
"Platt College-Los Angeles",Alhambra,California,34.090728,-118.127527,1,place,,,"Alhambra, CA 91801",,,,,Alhambra,CA,"Los Angeles County",91801,US,"TIGER/Line® from the US Census Bureau",,
"San Joaquin Valley College-Fresno",Fresno,California,36.8411,-119.801015,1,place,,,"Fresno, CA 93650",,,,,Fresno,CA,"Fresno County",93650,US,"TIGER/Line® from the US Census Bureau",,
"Central Coast College",Salinas,California,36.64152,-121.622188,1,place,,,"Salinas, CA 93901",,,,,Salinas,CA,"Monterey County",93901,US,"TIGER/Line® from the US Census Bureau",,
"Southern California Institute of Technology",Anaheim,California,33.844983,-117.952151,1,place,,,"Anaheim, CA 92801",,,,,Anaheim,CA,"Orange County",92801,US,"TIGER/Line® from the US Census Bureau",,
"California State University-Monterey Bay",Seaside,California,36.61107,-121.85162,1,place,,,"Seaside, CA 93955",,,,,Seaside,CA,"Monterey County",93955,US,"TIGER/Line® from the US Census Bureau",,
"Spartan College of Aeronautics & Technology",Inglewood,California,33.956526,-118.358654,1,place,,,"Inglewood, CA 90301",,,,,Inglewood,CA,"Los Angeles County",90301,US,"TIGER/Line® from the US Census Bureau",,
"Pacific College","Costa Mesa",California,33.678399,-117.911715,1,place,,,"Costa Mesa, CA 92626",,,,,"Costa Mesa",CA,"Orange County",92626,US,"TIGER/Line® from the US Census Bureau",,
"Platt College-Ontario",Ontario,California,34.05936,-117.6203,1,place,,,"Ontario, CA 91758",,,,,Ontario,CA,"San Bernardino County",91758,US,"TIGER/Line® from the US Census Bureau",,
"American University of Health Sciences","Signal Hill",California,33.803448,-118.168135,1,place,,,"Signal Hill, CA 90755",,,,,"Signal Hill",CA,"Los Angeles County",90755,US,"TIGER/Line® from the US Census Bureau",,
"Career Networks Institute","Santa Ana",California,33.74822,-117.858473,1,place,,,"Santa Ana, CA 92701",,,,,"Santa Ana",CA,"Orange County",92701,US,"TIGER/Line® from the US Census Bureau",,
"Universal Technical Institute of California Inc","Rancho
Cucamonga",California,34.839964,-115.967051,1,place,,,"Rancho Cucamonga, CA 91729",,,,,"Rancho Cucamonga",CA,"San Bernardino County",91729,US,"TIGER/Line® from the US Census Bureau",,
"Smith Chason College","Los Angeles",California,33.973951,-118.248405,1,place,,,"Los Angeles, CA 90001",,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® from the US Census Bureau",,
"California State University-Channel Islands",Camarillo,California,34.227855,-119.079869,1,place,,,"Camarillo, CA 93010",,,,,Camarillo,CA,"Ventura County",93010,US,"TIGER/Line® from the US Census Bureau",,
"West Coast University-Los Angeles","North Hollywood",California,34.1692,-118.372498,1,place,,,"North Hollywood, CA 91601",,,,,"North Hollywood",CA,"Los Angeles County",91601,US,"TIGER/Line® from the US Census Bureau",,
"University of California-Merced",Merced,California,37.345785,-120.42415,1,place,,,"Merced, CA 95340",,,,,Merced,CA,"Merced County",95340,US,"TIGER/Line® from the US Census Bureau",,
"Stanbridge University",Irvine,California,33.757245,-117.750414,1,place,,,"Irvine, CA 92602",,,,,Irvine,CA,"Orange County",92602,US,"TIGER/Line® from the US Census Bureau",,
"American Career College-Ontario",Ontario,California,34.05936,-117.6203,1,place,,,"Ontario, CA 91758",,,,,Ontario,CA,"San Bernardino County",91758,US,"TIGER/Line® from the US Census Bureau",,
"Universal Technical Institute of Northern California Inc",Sacramento,California,38.377411,-121.444429,1,place,,,"Sacramento, CA 94240",,,,,Sacramento,CA,"Sacramento County",94240,US,"TIGER/Line® from the US Census Bureau",,
"Angeles College","Los Angeles",California,33.973951,-118.248405,1,place,,,"Los Angeles, CA 90001",,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® from the US Census Bureau",,
"West Coast University-Orange County",Anaheim,California,33.844983,-117.952151,1,place,,,"Anaheim, CA 92801",,,,,Anaheim,CA,"Orange County",92801,US,"TIGER/Line® from the US Census Bureau",,
"West Coast University-Ontario",Ontario,California,34.05936,-117.6203,1,place,,,"Ontario, CA 91758",,,,,Ontario,CA,"San Bernardino County",91758,US,"TIGER/Line® from the US Census Bureau",,
